"Happy","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","Age"
1,1985,"Male","$50,000 - $74,999","Married (w/kids)","Bachelor's Degree","Republican","No","Yes","No","Yes","No","No","Private","Yes","Yes","No","No","Yes","No","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","Yes","Right","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","Yes","Yes","No","Mysterious","No","Yes","Tunes","Technology","Yes","No","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Own","Optimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Only-child","No","Yes","Yes",101,29
1,1993,"Female","under $25,000","Single (no kids)","Current Undergraduate","Republican","No","No","No","No","No","Yes","Public","No","Yes","Yes","No","No","Yes","Yes","Science","Try first","No","Yes","Yes","No","Receiving","No","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","No","Circumstances","No","Yes","Yes","Yes","No","TMI","Yes","No","Tunes","Technology","No","No","Yes","Yes","Yes","Supportive","Yes","Mac","No","Cautious","No","Umm...","No","Socialize","Yes","In-person","No","No","No","Yes","Grrr people","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Rent","Optimist","Dad","No","No","Yes","No","Check!","No","No","No","No","No","No","Yes","No","No","No",99,21
0,1981,"Male","under $25,000","Single (no kids)","Current Undergraduate","Republican","Yes","No","No","No","Yes","Yes","Public","Yes","Yes","No","Yes","No","Yes","Yes","Art","Try first","No","No","Yes","No","Receiving","Yes","No","Idealist","No","No","Cool headed","Odd hours","No","Right","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Yay people!","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Rent","Pessimist","Dad","No","Yes","No","Yes","Nope","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",98,33
1,1993,"Male","$50,000 - $74,999","Domestic Partners (no kids)","Current Undergraduate","Democrat","Yes","Yes","No","No","Yes","Yes","Public","Yes","No","No","No","Yes","Yes","Yes","Science","Study first","Yes","No","Yes","Yes","Receiving","No","No","Idealist","No","No","Cool headed","Odd hours","No","Happy","No","Yes","No","No","P.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","Technology","No","No","Yes","No","No","Supportive","No","PC","Yes","Cautious","Yes","Yes!","Yes","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Yes","Rent","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","No","Yes","No","Yes","Yes","No","No",76,21
0,1968,"Female","$100,001 - $150,000","Married (w/kids)","Master's Degree","Republican","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","Yes","Yes","Circumstances","Yes","Yes","No","No","Yes","Mysterious","Yes","No","Talk","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","No","Umm...","No","Socialize","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes",79,46
0,1956,"Female","under $25,000","Single (no kids)","High School Diploma","Democrat","Yes","Yes","No","No","No","No","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","No","Yes","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","Yes","No","No","Yes","P.M.","Yes","Start","No","No","Me","Yes","Yes","No","Yes","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Socialize","No","Online","Yes","No","Yes","No","Grrr people","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Rent","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","No","No","No","Yes","No","No","No",100,58
0,1983,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Independent","Yes","Yes","No","Yes","No","Yes","Public","Yes","Yes","Yes","Yes","Yes","No","Yes","Science","Try first","Yes","Yes","No","No","Giving","No","No","Idealist","No","Yes","Hot headed","Standard hours","Yes","Happy","No","No","No","No","P.M.","Yes","End","Yes","No","Me","No","Yes","Yes","Yes","Yes","Mysterious","No","No","Tunes","Technology","No","No","Yes","Yes","Yes","Demanding","Yes","Mac","Yes","Cautious","No","Umm...","Yes","Space","Yes","Online","No","No","Yes","Yes","Grrr people","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Rent","Optimist","Mom","No","No","Yes","Yes","Check!","Yes","Yes","No","No","No","Yes","Only-child","Yes","No","No",82,31
1,1994,"Male","$50,000 - $74,999","Single (no kids)","Current Undergraduate","Independent","No","No","No","No","No","Yes","Public","No","Yes","Yes","No","No","Yes","Yes","Art","Try first","No","Yes","No","Yes","Receiving","Yes","Yes","Idealist","No","Yes","Cool headed","Standard hours","No","Right","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","Yes","Yes","No","TMI","No","No","Tunes","People","No","No","No","Yes","Yes","Supportive","Yes","Mac","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","No","No","Yes","Yay people!","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Rent","Pessimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",100,20
1,1966,"Female","over $150,000","Married (no kids)","Master's Degree","Democrat","No","Yes","No","No","No","Yes","Private","No","Yes","No","No","No","Yes","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Odd hours","Yes","Happy","No","Yes","No","No","A.M.","Yes","End","Yes","Yes","Me","Yes","Yes","No","No","No","Mysterious","Yes","Yes","Tunes","Technology","No","No","Yes","Yes","Yes","Demanding","Yes","Mac","Yes","Risk-friendly","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Own","Optimist","Mom","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes",100,48
1,1981,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Democrat","Yes","No","No","Yes","Yes","Yes","Public","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Art","Study first","No","Yes","Yes","No","Giving","Yes","No","Idealist","Yes","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","No","P.M.","Yes","Start","No","No","Me","No","No","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","No","No","Yes","Yes","Yes","Demanding","Yes","PC","No","Cautious","Yes","Umm...","No","Socialize","Yes","In-person","No","No","Yes","Yes","Yay people!","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Rent","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes",98,33
0,1983,"Male","$100,001 - $150,000","Married (w/kids)","Master's Degree","Democrat","No","Yes","No","Yes","No","No","Public","No","Yes","Yes","No","Yes","Yes","No","Science","Try first","Yes","Yes","No","Yes","Receiving","No","No","Idealist","No","No","Hot headed","Standard hours","Yes","Right","No","Yes","Yes","Yes","P.M.","Yes","Start","No","Yes","Me","Yes","Yes","No","No","Yes","TMI","Yes","Yes","Talk","People","No","Yes","Yes","Yes","Yes","Demanding","Yes","Mac","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","Yes","Yes","No","Yes","Yay people!","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","No","Yes",94,31
0,1963,"Male","$100,001 - $150,000","Married (w/kids)","Doctoral Degree","Republican","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","No","A.M.","No","Start","Yes","Yes","Me","Yes","No","Yes","Yes","No","Mysterious","No","No","Talk","People","No","No","Yes","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","Yes","No","No","Yes","Grrr people","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Own","Pessimist","Dad","Yes","Yes","No","Yes","Check!","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",90,51
1,1990,"Female","$25,001 - $50,000","Married (w/kids)","Current Undergraduate","Republican","No","Yes","No","No","No","No","Public","Yes","Yes","No","No","Yes","Yes","Yes","Art","Study first","No","Yes","No","No","Giving","Yes","No","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","Yes","No","No","Yes","P.M.","Yes","End","Yes","No","Circumstances","No","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","People","Yes","No","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","Own","Pessimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Only-child","Yes","No","No",101,24
0,1948,"Male","$50,000 - $74,999","Married (w/kids)","Current Undergraduate","Independent","No","Yes","No","No","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","No","No","No","Giving","Yes","No","Pragmatist","No","No","Hot headed","Odd hours","No","Happy","Yes","Yes","No","No","P.M.","No","End","No","Yes","Me","Yes","No","No","Yes","Yes","TMI","No","No","Talk","Technology","No","No","Yes","No","No","Demanding","Yes","PC","Yes","Cautious","Yes","Umm...","No","Socialize","Yes","In-person","No","Yes","Yes","No","Yay people!","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Own","Pessimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","No",91,66
1,1997,"Female","over $150,000","Single (no kids)","Current K-12","Independent","No","Yes","No","No","No","Yes","Public","No","No","No","Yes","No","Yes","Yes","Art","Try first","No","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","No","Yes","Yes","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","No","Cautious","Yes","Umm...","No","Space","Yes","In-person","No","No","Yes","Yes","Yay people!","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Own","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes",63,17
1,1997,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Republican","No","No","No","No","No","Yes","Private","No","No","No","No","No","Yes","Yes","Art","Study first","No","No","No","No","Receiving","No","Yes","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","No","No","Yes","P.M.","No","End","Yes","No","Me","Yes","No","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","PC","No","Cautious","No","Umm...","No","Space","Yes","Online","No","No","No","Yes","Yay people!","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Own","Optimist","Mom","No","No","No","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",97,17
0,1970,"Male","$75,000 - $100,000","Domestic Partners (w/kids)","High School Diploma","Democrat","No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Study first","Yes","No","Yes","No","Giving","Yes","No","Idealist","No","Yes","Hot headed","Odd hours","No","Happy","No","Yes","Yes","Yes","P.M.","No","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","Yes","No","Demanding","No","Mac","Yes","Cautious","No","Umm...","Yes","Space","Yes","In-person","Yes","No","Yes","No","Yay people!","No","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","Yes","No","No",87,44
0,1972,"Female","under $25,000","Single (no kids)","Bachelor's Degree","Republican","No","No","No","No","Yes","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","No","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Me","Yes","Yes","Yes","No","Yes","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Cautious","Yes","Umm...","No","Space","Yes","Online","No","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","Own","Optimist","Mom","Yes","Yes","No","Yes","Nope","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes",101,42
1,1984,"Female","$25,001 - $50,000","Single (no kids)","Bachelor's Degree","Independent","No","No","No","No","No","No","Public","No","Yes","No","No","Yes","No","Yes","Art","Study first","No","No","Yes","Yes","Giving","Yes","No","Idealist","Yes","Yes","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","Yes","Me","Yes","No","No","Yes","No","Mysterious","No","No","Tunes","People","Yes","Yes","Yes","No","No","Supportive","Yes","Mac","Yes","Cautious","No","Yes!","No","Space","Yes","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Rent","Optimist","Dad","No","No","Yes","No","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",91,30
0,1949,"Male","over $150,000","Married (w/kids)","Current K-12","Independent","No","No","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Study first","No","Yes","No","No","Giving","Yes","Yes","Idealist","Yes","Yes","Cool headed","Standard hours","Yes","Happy","No","Yes","No","No","P.M.","Yes","End","No","Yes","Circumstances","Yes","No","No","No","No","TMI","Yes","Yes","Talk","People","Yes","Yes","Yes","Yes","No","Supportive","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","Yes","Yes","No","Yay people!","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Own","Pessimist","Dad","No","Yes","No","No","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes",101,65
0,1949,"Female","$25,001 - $50,000","Domestic Partners (no kids)","High School Diploma","Republican","Yes","Yes","No","No","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Study first","No","No","No","No","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Odd hours","Yes","Right","Yes","Yes","No","No","P.M.","No","End","Yes","No","Me","No","No","Yes","No","Yes","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Supportive","No","Mac","Yes","Cautious","No","Yes!","Yes","Space","No","Online","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",78,65
1,1989,"Female","$25,001 - $50,000","Domestic Partners (no kids)","Current Undergraduate","Independent","Yes","Yes","Yes","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","No","No","Yes","Yes","Giving","Yes","No","Idealist","No","Yes","Cool headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","Yes","End","Yes","No","Me","Yes","No","No","Yes","No","TMI","No","Yes","Tunes","People","Yes","Yes","No","No","No","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Own","Optimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No",67,25
0,1996,"Female","$50,000 - $74,999","Married (w/kids)","Current K-12","Democrat","Yes","No","No","No","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Study first","Yes","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","End","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","TMI","No","No","Tunes","Technology","No","No","No","Yes","No","Supportive","Yes","PC","No","Risk-friendly","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Own","Pessimist","Mom","No","Yes","Yes","No","Check!","No","No","No","Yes","No","No","Yes","Yes","No","Yes",63,18
1,1972,"Male","over $150,000","Married (w/kids)","Doctoral Degree","Democrat","Yes","No","No","Yes","Yes","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Try first","Yes","Yes","No","Yes","Giving","Yes","No","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","No","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","No","No","No","No","No","Mysterious","Yes","No","Talk","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","No","Cautious","Yes","Yes!","No","Socialize","Yes","In-person","No","No","Yes","Yes","Yay people!","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","No","No","No","Nope","Yes","No","No","No","No","No","Yes","No","No","Yes",21,42
0,1971,"Male","$100,001 - $150,000","Single (w/kids)","Associate's Degree","Republican","No","No","No","Yes","Yes","Yes","Public","Yes","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","No","Right","Yes","Yes","Yes","No","A.M.","Yes","Start","No","No","Me","No","Yes","No","Yes","Yes","TMI","No","Yes","Talk","Technology","No","Yes","Yes","No","No","Supportive","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","In-person","Yes","Yes","No","Yes","Yay people!","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Own","Pessimist","Dad","Yes","Yes","No","No","Check!","Yes","No","No","Yes","No","No","Only-child","No","No","Yes",52,43
